time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2001-01-01T00:00,22,93,20.7,25.5,0,0,1,1010.7,1006.6,41,25,28,4,4.6,11.1,141,126,9,24.3,26.7,26.7,27,0.37,0.379,0.376,0.402
2001-01-01T01:00,21.9,93,20.7,25.3,0,0,1,1010.8,1006.7,25,8,29,0,5.1,9.7,129,121,8.6,24,26.5,26.7,27,0.37,0.378,0.376,0.402
2001-01-01T02:00,23.1,87,20.8,26.8,0,0,1,1010.3,1006.2,38,14,42,0,3.6,7.5,96,107,6.8,24.1,26.3,26.7,27,0.371,0.378,0.376,0.402
2001-01-01T03:00,22.4,92,20.9,26.3,0,0,1,1009.6,1005.5,38,20,33,0,2.9,6.5,60,90,5.4,24,26.2,26.7,27,0.371,0.378,0.376,0.402
2001-01-01T04:00,21.9,94,20.9,25.8,0,0,2,1009.8,1005.7,52,30,41,0,3.1,6.2,45,80,5.4,23.8,26,26.7,27,0.371,0.378,0.376,0.402
2001-01-01T05:00,21.7,95,20.8,25.6,0,0,1,1010.3,1006.2,41,25,31,0,2.7,5.6,23,45,5,23.5,25.9,26.7,27,0.371,0.378,0.376,0.402
2001-01-01T06:00,21.5,95,20.7,25.3,0,0,0,1010.1,1006,17,16,5,0,3.2,7.2,27,37,5.4,23.3,25.7,26.7,27,0.371,0.378,0.376,0.402
2001-01-01T07:00,21.8,96,21.1,25.5,0,0,0,1010.7,1006.6,15,15,2,0,4.8,8.1,27,32,6.5,23.7,25.6,26.7,27,0.371,0.378,0.375,0.402
2001-01-01T08:00,23.5,84,20.6,26.9,0,0,0,1011.4,1007.3,16,17,2,0,5.3,7.1,28,30,10.8,26,25.7,26.7,27,0.371,0.378,0.375,0.402
2001-01-01T09:00,24.6,76,20.1,27.7,0,0,0,1011.8,1007.7,11,12,0,0,5.4,6.5,20,19,13.7,26.7,25.7,26.7,27,0.37,0.377,0.375,0.402
2001-01-01T10:00,25.5,71,19.7,28.6,0,0,0,1011.8,1007.8,11,12,1,0,4,5.1,360,4,14.4,27.2,25.9,26.7,27,0.369,0.376,0.375,0.402
2001-01-01T11:00,26.2,67,19.6,29.4,0,0,0,1011.3,1007.3,8,8,1,0,2.9,3.3,353,354,14.8,27.9,26,26.7,27,0.368,0.376,0.375,0.402
2001-01-01T12:00,27.1,63,19.5,31.1,0,0,0,1010.6,1006.6,10,10,2,0,1.6,1.9,333,338,15.1,28.9,26.2,26.7,27,0.366,0.375,0.375,0.402
2001-01-01T13:00,27.9,59,19.2,32.7,0,0,0,1009.5,1005.5,10,10,2,0,1.1,1.1,270,270,14.4,29.9,26.5,26.7,27,0.363,0.373,0.375,0.402
2001-01-01T14:00,28.4,55,18.4,32.4,0,0,0,1008.4,1004.4,12,7,9,0,2,2.3,225,219,13.3,30.2,26.7,26.7,27,0.361,0.372,0.374,0.402
2001-01-01T15:00,28.4,54,18.2,31,0,0,0,1007.9,1003.9,16,12,9,0,3.1,3.4,201,198,13,29.9,26.9,26.7,27,0.359,0.371,0.374,0.402
2001-01-01T16:00,28,56,18.5,30.3,0,0,0,1007.9,1003.9,8,1,12,0,5.8,6.8,180,180,13.7,29.2,27.1,26.7,27,0.358,0.371,0.374,0.402
2001-01-01T17:00,26.8,65,19.7,29.3,0,0,0,1008.7,1004.7,5,2,6,0,8.5,14.8,168,166,16.2,28.2,27.1,26.7,27,0.358,0.37,0.374,0.402
2001-01-01T18:00,25,72,19.7,26.9,0,0,0,1009.2,1005.2,5,2,5,0,12,22.7,159,155,22,26.9,27.1,26.7,27,0.358,0.37,0.374,0.402
2001-01-01T19:00,23.8,79,19.9,25.7,0,0,0,1009.4,1005.3,4,0,6,0,13.1,24,148,144,24.5,26,27,26.7,27,0.358,0.37,0.374,0.402
2001-01-01T20:00,23,82,19.9,25,0,0,0,1010,1005.9,2,0,3,0,12.5,23.4,139,135,24.5,25.3,26.9,26.7,27,0.358,0.37,0.374,0.402
2001-01-01T21:00,22.5,84,19.7,24.6,0,0,1,1010.5,1006.4,22,0,1,72,10.9,22,134,130,22.7,24.8,26.8,26.7,27,0.358,0.369,0.374,0.402
2001-01-01T22:00,22.1,85,19.5,24.2,0,0,1,1011.1,1007,28,0,1,91,10,20.6,128,123,21.6,24.4,26.6,26.7,27,0.358,0.369,0.374,0.402
2001-01-01T23:00,21.7,87,19.3,24,0,0,1,1010.9,1006.8,32,1,1,100,8.1,18.5,122,119,19.4,24,26.4,26.7,27,0.359,0.369,0.374,0.402
2001-01-02T00:00,21.4,88,19.2,23.8,0,0,1,1011.1,1007,35,6,1,97,7.1,17.4,120,117,15.8,23.7,26.3,26.7,27,0.359,0.369,0.374,0.402
2001-01-02T01:00,21.1,89,19.1,23.6,0,0,1,1010.9,1006.8,42,10,5,100,6.1,15.9,118,115,13.7,23.5,26.1,26.7,27,0.359,0.369,0.374,0.402
2001-01-02T02:00,20.8,92,19.5,23.6,0,0,1,1010.3,1006.2,38,7,2,100,5.5,15.2,113,112,10.8,23.2,25.9,26.7,27,0.359,0.369,0.374,0.402
2001-01-02T03:00,20.2,94,19.3,22.9,0,0,1,1009.9,1005.8,36,5,2,100,5.8,14.1,112,109,9.7,22.8,25.7,26.7,27,0.359,0.369,0.374,0.402
2001-01-02T04:00,19.9,95,19.1,22.5,0,0,1,1009.8,1005.7,32,5,0,90,5.7,13.9,108,107,9.4,22.6,25.5,26.7,27,0.359,0.368,0.374,0.402
2001-01-02T05:00,19.5,95,18.8,22.1,0,0,1,1010,1005.9,25,3,0,75,5,13,111,109,9.4,22.2,25.3,26.7,27,0.36,0.368,0.374,0.402
2001-01-02T06:00,19.3,96,18.6,21.6,0,0,1,1010.4,1006.3,21,2,0,63,6,13.1,107,106,9.7,21.9,25.1,26.6,27,0.36,0.368,0.374,0.402
2001-01-02T07:00,19.9,96,19.2,22.4,0,0,0,1011.3,1007.2,4,0,0,14,6.6,12.2,81,92,9.7,22.2,25,26.6,27,0.36,0.368,0.374,0.402
2001-01-02T08:00,22.7,84,19.9,25.6,0,0,0,1011.8,1007.7,0,0,0,1,6.6,9,61,67,15.1,24.8,25,26.6,27,0.36,0.368,0.374,0.402
2001-01-02T09:00,24.2,78,20,27.1,0,0,0,1012.3,1008.2,14,0,0,48,6.4,8.2,47,49,18,25.8,25.1,26.6,27,0.359,0.368,0.374,0.402
2001-01-02T10:00,25.4,72,20,29,0,0,1,1012.2,1008.2,20,3,0,58,5.2,6.4,25,27,18.7,27,25.2,26.6,27,0.357,0.367,0.373,0.402
2001-01-02T11:00,26.6,65,19.6,31.1,0,0,1,1011.7,1007.7,46,26,10,55,4.7,5.8,356,353,19.1,28.3,25.5,26.6,27,0.355,0.366,0.373,0.402
2001-01-02T12:00,27.4,61,19.1,31.6,0,0,2,1011.1,1007.1,50,32,25,22,4.6,5.2,342,344,19.4,29,25.7,26.6,27,0.353,0.365,0.373,0.402
2001-01-02T13:00,27.9,57,18.5,31.8,0,0,1,1010,1006,44,34,21,4,4,4.8,333,333,18.7,29.5,26,26.6,27,0.351,0.364,0.373,0.401
2001-01-02T14:00,28,57,18.7,31.4,0,0,1,1009,1005,47,29,35,0,3.1,3.4,324,328,14.4,29.5,26.2,26.6,27,0.349,0.363,0.372,0.401
2001-01-02T15:00,28.2,55,18.2,31.2,0,0,1,1008.3,1004.3,32,12,36,0,1.6,1.6,297,297,13,29.6,26.5,26.6,27,0.348,0.362,0.372,0.401
2001-01-02T16:00,27.9,56,18.2,30.3,0,0,1,1008.7,1004.7,33,16,31,0,3.6,4.3,186,185,11.5,28.7,26.6,26.6,27,0.347,0.361,0.372,0.401
2001-01-02T17:00,27,63,19.3,29.4,0,0,1,1009.3,1005.3,25,10,27,0,7.6,13.4,175,174,12.6,27.9,26.7,26.6,27,0.346,0.361,0.372,0.401
2001-01-02T18:00,25,70,19.3,27,0,0,0,1009.9,1005.9,11,2,15,0,10.4,20.2,166,164,18,26.6,26.7,26.6,27,0.346,0.36,0.372,0.401
2001-01-02T19:00,23.7,77,19.4,25.7,0,0,0,1010.2,1006.1,4,0,6,0,10.6,20.8,156,154,20.2,25.6,26.6,26.6,27,0.347,0.36,0.372,0.401
2001-01-02T20:00,22.8,81,19.5,25,0,0,0,1010.4,1006.3,4,0,2,11,10.1,20.3,145,143,20.2,25,26.5,26.6,27,0.347,0.36,0.372,0.401
2001-01-02T21:00,22.2,85,19.6,24.5,0,0,1,1010.9,1006.8,23,0,2,72,9.2,19.6,135,133,18.7,24.4,26.4,26.6,27,0.347,0.36,0.372,0.401
2001-01-02T22:00,21.9,87,19.7,24.6,0,0,1,1011.6,1007.5,27,0,0,91,7.4,17.9,129,128,17.6,24.1,26.2,26.6,27,0.347,0.36,0.372,0.401
2001-01-02T23:00,21.5,91,19.9,24.5,0,0,1,1011.5,1007.4,32,0,5,97,5.4,15.3,132,129,15.8,23.7,26.1,26.6,27,0.347,0.36,0.372,0.401
2001-01-03T00:00,21.3,93,20.1,24.4,0,0,1,1011.8,1007.7,36,4,8,91,5.6,13.5,135,132,12.2,23.5,25.9,26.6,27,0.348,0.36,0.372,0.401
2001-01-03T01:00,20.9,95,20.1,23.8,0,0,1,1011.5,1007.4,37,4,11,89,6.4,12,142,134,9.7,23.1,25.7,26.6,27,0.348,0.36,0.372,0.401
2001-01-03T02:00,20.8,96,20.1,23.8,0,0,1,1011.1,1007,34,3,11,84,6.4,10.2,133,129,8.3,23,25.6,26.6,27,0.348,0.359,0.372,0.401
2001-01-03T03:00,20.9,95,20,23.9,0,0,1,1010.7,1006.6,36,5,9,86,5.7,9.3,125,126,7.9,22.7,25.4,26.6,27,0.348,0.359,0.372,0.401
2001-01-03T04:00,21,95,20.2,24.2,0,0,1,1010.6,1006.5,38,5,9,94,5,8.8,120,125,7.2,22.5,25.2,26.6,27,0.349,0.359,0.372,0.401
