STT,Thời gian,"Mực nước trạm Lệ Thủy<br /><i style=""font-size:12px""> (m)</i>"
1,18/08/2024 19:00,-0.03
2,18/08/2024 18:00,-0.03
3,18/08/2024 17:00,-0.03
4,18/08/2024 16:00,-0.03
5,18/08/2024 15:00,-0.04
6,18/08/2024 14:00,-0.03
7,18/08/2024 13:00,-0.04
8,18/08/2024 12:00,-0.04
9,18/08/2024 11:00,-0.03
10,18/08/2024 10:00,-0.05
11,18/08/2024 09:00,-0.04
12,18/08/2024 08:00,-0.06
13,18/08/2024 07:00,-0.05
14,18/08/2024 06:00,-0.04
15,18/08/2024 05:00,-0.04
16,18/08/2024 04:00,-0.03
17,18/08/2024 03:00,-0.04
18,18/08/2024 02:00,-0.03
19,18/08/2024 01:00,-0.04
20,18/08/2024 00:00,-0.04
21,17/08/2024 22:00,-0.04
22,17/08/2024 21:00,-0.03
23,17/08/2024 20:00,-0.03
24,17/08/2024 19:00,-0.03
25,17/08/2024 18:00,-0.04
26,17/08/2024 17:00,-0.04
27,17/08/2024 16:00,-0.05
28,17/08/2024 15:00,-0.04
29,17/08/2024 14:00,-0.04
30,17/08/2024 13:00,-0.04
31,17/08/2024 12:00,-0.05
32,17/08/2024 11:00,-0.05
33,17/08/2024 10:00,-0.06
34,17/08/2024 09:00,-0.06
35,17/08/2024 07:00,-0.03
36,17/08/2024 06:00,-0.04
37,17/08/2024 05:00,-0.04
38,17/08/2024 04:00,-0.04
39,17/08/2024 03:00,-0.04
40,17/08/2024 02:00,-0.04
41,17/08/2024 01:00,-0.04
42,17/08/2024 00:00,-0.04
43,16/08/2024 22:00,-0.03
44,16/08/2024 21:00,-0.03
45,16/08/2024 20:00,-0.03
46,16/08/2024 19:00,-0.04
47,16/08/2024 18:00,-0.04
48,16/08/2024 17:00,-0.04
49,16/08/2024 16:00,-0.05
50,16/08/2024 15:00,-0.05
51,16/08/2024 14:00,-0.05
52,16/08/2024 13:00,-0.04
53,16/08/2024 12:00,-0.05
54,16/08/2024 11:00,-0.05
55,16/08/2024 10:00,-0.06
56,16/08/2024 09:00,-0.05
57,16/08/2024 08:00,-0.07
58,16/08/2024 07:00,-0.06
59,16/08/2024 06:00,-0.04
60,16/08/2024 05:00,-0.05
61,16/08/2024 04:00,-0.04
62,16/08/2024 03:00,-0.05
63,16/08/2024 02:00,-0.05
64,16/08/2024 01:00,-0.04
65,16/08/2024 00:00,-0.04
66,15/08/2024 22:00,-0.04
67,15/08/2024 21:00,-0.04
68,15/08/2024 20:00,-0.04
69,15/08/2024 19:00,-0.04
70,15/08/2024 18:00,-0.04
71,15/08/2024 17:00,-0.04
72,15/08/2024 16:00,-0.04
73,15/08/2024 14:00,-0.05
74,15/08/2024 13:00,-0.05
75,15/08/2024 12:00,-0.06
76,15/08/2024 11:00,-0.06
77,15/08/2024 10:00,-0.06
78,15/08/2024 09:00,-0.08
79,15/08/2024 08:00,-0.07
80,15/08/2024 07:00,-0.07
81,15/08/2024 06:00,-0.06
82,15/08/2024 05:00,-0.06
83,15/08/2024 04:00,-0.06
84,15/08/2024 03:00,-0.06
85,15/08/2024 02:00,-0.05
86,15/08/2024 01:00,-0.06
87,15/08/2024 00:00,-0.05
88,14/08/2024 23:00,-0.05
89,14/08/2024 22:00,-0.06
90,14/08/2024 21:00,-0.06
91,14/08/2024 20:00,-0.06
92,14/08/2024 19:00,-0.06
93,14/08/2024 18:00,-0.06
94,14/08/2024 17:00,-0.06
95,14/08/2024 16:00,-0.07
96,14/08/2024 15:00,-0.07
97,14/08/2024 14:00,-0.07
98,14/08/2024 13:00,-0.07
99,14/08/2024 12:00,-0.07
100,14/08/2024 11:00,-0.08
101,14/08/2024 10:00,-0.09
102,14/08/2024 09:00,-0.1
103,14/08/2024 08:00,-0.1
104,14/08/2024 07:00,-0.1
105,14/08/2024 06:00,-0.09
106,14/08/2024 05:00,-0.09
107,14/08/2024 04:00,-0.08
108,14/08/2024 03:00,-0.08
109,14/08/2024 02:00,-0.08
110,14/08/2024 01:00,-0.08
111,14/08/2024 00:00,-0.08
112,13/08/2024 23:00,-0.08
113,13/08/2024 22:00,-0.08
114,13/08/2024 21:00,-0.08
115,13/08/2024 20:00,-0.07
116,13/08/2024 19:00,-0.08
117,13/08/2024 18:00,-0.09
118,13/08/2024 17:00,-0.08
119,13/08/2024 16:00,-0.09
120,13/08/2024 15:00,-0.09
121,13/08/2024 14:00,-0.08
122,13/08/2024 13:00,-0.09
123,13/08/2024 12:00,-0.09
124,13/08/2024 11:00,-0.09
125,13/08/2024 10:00,-0.1
126,13/08/2024 09:00,-0.11
127,13/08/2024 08:00,-0.12
128,13/08/2024 07:00,-0.11
129,13/08/2024 06:00,-0.1
130,13/08/2024 05:00,-0.11
131,13/08/2024 04:00,-0.11
132,13/08/2024 03:00,-0.11
133,13/08/2024 02:00,-0.11
134,13/08/2024 01:00,-0.11
135,13/08/2024 00:00,-0.11
136,12/08/2024 23:00,-0.11
137,12/08/2024 22:00,-0.1
138,12/08/2024 21:00,-0.11
139,12/08/2024 20:00,-0.11
140,12/08/2024 19:00,-0.1
141,12/08/2024 18:00,-0.11
142,12/08/2024 17:00,-0.12
143,12/08/2024 16:00,-0.12
144,12/08/2024 15:00,-0.12
145,12/08/2024 14:00,-0.12
146,12/08/2024 13:00,-0.12
147,12/08/2024 12:00,-0.13
148,12/08/2024 11:00,-0.13
149,12/08/2024 10:00,-0.14
150,12/08/2024 09:00,-0.14
151,12/08/2024 08:00,-0.15
152,12/08/2024 07:00,-0.14
153,12/08/2024 06:00,-0.12
