STT,Thời gian,"Mực nước trạm Đồng Hới<br /><i style=""font-size:12px""> (m)</i>"
1,18/08/2024 19:00,0.33
2,18/08/2024 18:00,0.37
3,18/08/2024 17:00,0.43
4,18/08/2024 16:00,0.48
5,18/08/2024 15:00,0.53
6,18/08/2024 14:00,0.57
7,18/08/2024 13:00,0.52
8,18/08/2024 12:00,0.43
9,18/08/2024 11:00,0.25
10,18/08/2024 10:00,0.09
11,18/08/2024 09:00,-0.1
12,18/08/2024 08:00,-0.25
13,18/08/2024 07:00,-0.36
14,18/08/2024 06:00,-0.47
15,18/08/2024 05:00,-0.55
16,18/08/2024 04:00,-0.59
17,18/08/2024 03:00,-0.54
18,18/08/2024 02:00,-0.47
19,18/08/2024 01:00,-0.33
20,18/08/2024 00:00,-0.2
21,17/08/2024 22:00,0.07
22,17/08/2024 21:00,0.14
23,17/08/2024 20:00,0.22
24,17/08/2024 19:00,0.24
25,17/08/2024 18:00,0.26
26,17/08/2024 17:00,0.31
27,17/08/2024 16:00,0.39
28,17/08/2024 15:00,0.45
29,17/08/2024 14:00,0.5
30,17/08/2024 13:00,0.49
31,17/08/2024 12:00,0.49
32,17/08/2024 11:00,0.4
33,17/08/2024 10:00,0.26
34,17/08/2024 09:00,0.1
35,17/08/2024 07:00,-0.17
36,17/08/2024 06:00,-0.32
37,17/08/2024 05:00,-0.38
38,17/08/2024 04:00,-0.42
39,17/08/2024 03:00,-0.5
40,17/08/2024 02:00,-0.47
41,17/08/2024 01:00,-0.39
42,17/08/2024 00:00,-0.25
43,16/08/2024 22:00,-0.04
44,16/08/2024 21:00,0.12
45,16/08/2024 20:00,0.21
46,16/08/2024 19:00,0.23
47,16/08/2024 18:00,0.25
48,16/08/2024 17:00,0.29
49,16/08/2024 16:00,0.34
50,16/08/2024 15:00,0.4
51,16/08/2024 14:00,0.46
52,16/08/2024 13:00,0.48
53,16/08/2024 12:00,0.53
54,16/08/2024 11:00,0.5
55,16/08/2024 10:00,0.38
56,16/08/2024 09:00,0.25
57,16/08/2024 08:00,0.09
58,16/08/2024 07:00,-0.03
59,16/08/2024 06:00,-0.18
60,16/08/2024 05:00,-0.29
61,16/08/2024 04:00,-0.39
62,16/08/2024 03:00,-0.45
63,16/08/2024 02:00,-0.47
64,16/08/2024 01:00,-0.43
65,16/08/2024 00:00,-0.35
66,15/08/2024 22:00,-0.09
67,15/08/2024 21:00,0.02
68,15/08/2024 20:00,0.11
69,15/08/2024 19:00,0.22
70,15/08/2024 18:00,0.26
71,15/08/2024 17:00,0.27
72,15/08/2024 16:00,0.27
73,15/08/2024 14:00,0.34
74,15/08/2024 13:00,0.36
75,15/08/2024 12:00,0.4
76,15/08/2024 11:00,0.46
77,15/08/2024 10:00,0.4
78,15/08/2024 09:00,0.33
79,15/08/2024 08:00,0.26
80,15/08/2024 07:00,0.1
81,15/08/2024 06:00,-0.02
82,15/08/2024 05:00,-0.16
83,15/08/2024 04:00,-0.25
84,15/08/2024 03:00,-0.38
85,15/08/2024 02:00,-0.44
86,15/08/2024 01:00,-0.44
87,15/08/2024 00:00,-0.4
88,14/08/2024 23:00,-0.31
89,14/08/2024 22:00,-0.18
90,14/08/2024 21:00,-0.02
91,14/08/2024 20:00,0.11
92,14/08/2024 19:00,0.16
93,14/08/2024 18:00,0.23
94,14/08/2024 17:00,0.23
95,14/08/2024 16:00,0.23
96,14/08/2024 15:00,0.2
97,14/08/2024 14:00,0.19
98,14/08/2024 13:00,0.2
99,14/08/2024 12:00,0.25
100,14/08/2024 11:00,0.27
101,14/08/2024 10:00,0.34
102,14/08/2024 09:00,0.34
103,14/08/2024 08:00,0.32
104,14/08/2024 07:00,0.23
105,14/08/2024 06:00,0.13
106,14/08/2024 05:00,-0.01
107,14/08/2024 04:00,-0.18
108,14/08/2024 03:00,-0.28
109,14/08/2024 02:00,-0.37
110,14/08/2024 01:00,-0.44
111,14/08/2024 00:00,-0.45
112,13/08/2024 23:00,-0.37
113,13/08/2024 22:00,-0.26
114,13/08/2024 21:00,-0.13
115,13/08/2024 20:00,0.02
116,13/08/2024 19:00,0.13
117,13/08/2024 18:00,0.2
118,13/08/2024 17:00,0.22
119,13/08/2024 16:00,0.2
120,13/08/2024 15:00,0.16
121,13/08/2024 14:00,0.1
122,13/08/2024 13:00,0.02
123,13/08/2024 12:00,0.01
124,13/08/2024 11:00,0.08
125,13/08/2024 10:00,0.16
126,13/08/2024 09:00,0.24
127,13/08/2024 08:00,0.29
128,13/08/2024 07:00,0.32
129,13/08/2024 06:00,0.29
130,13/08/2024 05:00,0.19
131,13/08/2024 04:00,0.04
132,13/08/2024 03:00,-0.09
133,13/08/2024 02:00,-0.21
134,13/08/2024 01:00,-0.3
135,13/08/2024 00:00,-0.37
136,12/08/2024 23:00,-0.37
137,12/08/2024 22:00,-0.26
138,12/08/2024 21:00,-0.11
139,12/08/2024 20:00,0.01
140,12/08/2024 19:00,0.1
141,12/08/2024 18:00,0.19
142,12/08/2024 17:00,0.21
143,12/08/2024 16:00,0.19
144,12/08/2024 15:00,0.09
145,12/08/2024 14:00,0.03
146,12/08/2024 13:00,-0.07
147,12/08/2024 12:00,-0.17
148,12/08/2024 11:00,-0.12
149,12/08/2024 10:00,-0.05
150,12/08/2024 09:00,0.08
151,12/08/2024 08:00,0.21
152,12/08/2024 07:00,0.3
153,12/08/2024 06:00,0.39
154,12/08/2024 05:00,0.37
155,12/08/2024 04:00,0.32
156,12/08/2024 03:00,0.2
157,12/08/2024 02:00,0.04
158,12/08/2024 01:00,-0.08
159,12/08/2024 00:00,-0.18
160,11/08/2024 23:00,-0.26
161,11/08/2024 22:00,-0.23
162,11/08/2024 21:00,-0.12
163,11/08/2024 20:00,-0.01
164,11/08/2024 19:00,0.12
165,11/08/2024 18:00,0.15
166,11/08/2024 17:00,0.21
167,11/08/2024 16:00,0.14
168,11/08/2024 15:00,0.05
169,11/08/2024 14:00,-0.05
170,11/08/2024 13:00,-0.15
171,11/08/2024 12:00,-0.22
172,11/08/2024 11:00,-0.28
173,11/08/2024 10:00,-0.23
174,11/08/2024 09:00,-0.12
175,11/08/2024 07:00,0.15
176,11/08/2024 06:00,0.28
177,11/08/2024 05:00,0.38
178,11/08/2024 04:00,0.4
179,11/08/2024 03:00,0.32
