time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2024-10-01T00:00,26.7,92,25.4,32,0,0,2,1006.4,1005.3,53,0,0,53,11.8,22.4,324,322,21.2,28.8,29.9,28.1,28.7,0.476,0.425,0.444,0.51
2024-10-01T01:00,26.2,96,25.5,32.2,0,0,1,1005.9,1004.8,32,15,4,16,7.6,15.1,333,340,20.2,28.4,29.8,28.1,28.7,0.474,0.426,0.444,0.51
2024-10-01T02:00,25.7,97,25.2,31.5,0,0,1,1006.3,1005.2,47,38,18,6,7.1,13.5,304,318,13,28.1,29.7,28.1,28.7,0.473,0.426,0.444,0.51
2024-10-01T03:00,25.4,96,24.8,31.2,0,0,1,1006,1004.8,41,26,12,16,6,12.3,335,339,12.2,27.9,29.5,28.2,28.7,0.471,0.427,0.444,0.51
2024-10-01T04:00,25.1,96,24.4,30.5,0,0,1,1006,1004.8,31,15,2,18,6.6,13.2,339,346,10.8,27.6,29.4,28.2,28.7,0.47,0.427,0.444,0.51
2024-10-01T05:00,25,95,24.2,30.3,0,0,1,1006.7,1005.5,27,21,3,5,6.4,13.3,299,330,15.1,27.4,29.3,28.2,28.7,0.468,0.428,0.443,0.51
2024-10-01T06:00,24.9,96,24.2,30.1,0,0,1,1007.5,1006.3,21,15,2,6,7.2,12.5,292,315,11.5,27.2,29.1,28.2,28.7,0.467,0.428,0.443,0.51
2024-10-01T07:00,25.8,92,24.4,31,0,0,3,1008.4,1007.2,100,100,6,1,7.9,11.4,305,311,16.2,27.3,29,28.2,28.7,0.466,0.428,0.443,0.51
2024-10-01T08:00,28.3,85,25.5,34.8,0,0,0,1008.8,1007.7,9,9,4,0,4.3,5.9,312,313,13,29.1,28.8,28.2,28.7,0.461,0.436,0.443,0.51
2024-10-01T09:00,29.9,78,25.6,35.9,0.1,0.1,51,1009.7,1008.6,32,18,3,15,7.8,10.2,347,347,18.7,29.9,28.9,28.2,28.7,0.46,0.436,0.443,0.51
2024-10-01T10:00,29.3,77,24.7,35.1,2.1,2.1,61,1010,1008.9,89,23,57,69,7.3,9.2,9,7,21.6,30.5,28.9,28.2,28.7,0.478,0.436,0.443,0.51
2024-10-01T11:00,29.3,79,25.2,35.4,1.2,1.2,55,1009.6,1008.5,87,65,21,54,5.7,6.7,58,54,19.4,30.5,29,28.2,28.7,0.487,0.436,0.442,0.51
2024-10-01T12:00,26.9,89,25,32.4,6.4,6.4,63,1009.4,1008.3,45,16,3,33,8.4,11,9,10,26.6,30,29.1,28.2,28.7,0.496,0.455,0.442,0.51
2024-10-01T13:00,28.9,82,25.6,35.4,0.1,0.1,51,1008.2,1007.1,49,40,4,12,10.1,12.6,327,327,22.3,30.8,29.1,28.2,28.7,0.492,0.456,0.442,0.51
2024-10-01T14:00,29.6,78,25.4,35.7,0.1,0.1,51,1006.8,1005.7,63,30,8,43,11.4,15,336,336,25.6,31.3,29.2,28.2,28.7,0.488,0.456,0.442,0.51
