time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
30-06-2024 00:00:00,26.5,91,25.0,32.3,0.0,0.0,2,1011.6,1007.6,55,21,11,98,6.0,14.8,155,157,10.8,28.1,29.4,29.2,30.5,0.332,0.333,0.279,0.312
30-06-2024 01:00:00,26.3,93,25.0,32.2,0.1,0.1,51,1011.2,1007.2,51,17,10,99,6.1,15.2,177,176,11.2,27.8,29.3,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 02:00:00,26.3,92,24.9,32.0,0.0,0.0,1,1010.8,1006.8,46,15,5,100,6.2,14.6,159,164,11.5,27.6,29.2,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 03:00:00,25.9,93,24.7,31.8,0.0,0.0,1,1010.3,1006.3,44,15,2,97,4.1,11.7,165,171,10.8,27.4,29.1,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 04:00:00,25.5,95,24.6,31.3,0.0,0.0,1,1009.6,1005.6,32,4,1,94,4.3,7.6,138,161,6.8,27.2,28.9,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 05:00:00,25.2,95,24.4,30.9,0.0,0.0,1,1009.8,1005.8,34,13,1,72,4.8,6.5,167,180,6.1,27.0,28.8,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 06:00:00,26.0,94,24.9,32.3,0.0,0.0,1,1010.5,1006.5,39,13,6,78,1.9,2.9,158,187,5.8,26.9,28.7,29.2,30.5,0.333,0.333,0.279,0.312
30-06-2024 07:00:00,27.0,88,24.9,33.4,0.0,0.0,1,1011.2,1007.2,39,8,4,97,1.8,2.2,180,189,9.7,27.5,28.6,29.2,30.5,0.333,0.332,0.279,0.312
30-06-2024 08:00:00,27.7,83,24.5,33.3,0.1,0.1,51,1011.8,1007.8,44,25,10,50,5.5,6.6,169,167,15.1,29.2,28.7,29.2,30.5,0.329,0.33,0.278,0.312
30-06-2024 09:00:00,28.9,77,24.4,34.6,0.1,0.1,51,1011.8,1007.8,46,26,6,64,4.0,5.3,207,208,14.8,29.8,28.8,29.2,30.5,0.328,0.33,0.278,0.312
30-06-2024 10:00:00,30.2,70,24.2,36.2,0.1,0.1,51,1011.6,1007.6,27,11,14,30,6.6,8.5,241,242,18.4,30.8,28.9,29.2,30.5,0.327,0.329,0.278,0.312
30-06-2024 11:00:00,31.2,65,23.8,37.6,0.1,0.1,51,1011.0,1007.0,44,16,6,87,6.6,8.2,229,229,19.1,31.8,29.1,29.2,30.5,0.325,0.328,0.278,0.312
30-06-2024 12:00:00,31.8,63,24.0,38.3,0.1,0.1,51,1010.2,1006.2,45,15,8,90,8.4,10.6,239,242,23.4,32.6,29.3,29.2,30.5,0.322,0.326,0.278,0.312
30-06-2024 13:00:00,32.3,63,24.2,39.3,0.0,0.0,1,1009.4,1005.5,40,9,5,98,8.4,10.5,239,239,24.8,33.3,29.5,29.2,30.5,0.319,0.325,0.278,0.312
30-06-2024 14:00:00,32.2,62,24.1,38.7,0.0,0.0,1,1008.2,1004.3,32,0,7,91,6.9,8.5,208,208,23.4,33.6,29.8,29.2,30.5,0.316,0.324,0.277,0.312
30-06-2024 15:00:00,31.9,64,24.3,37.6,0.0,0.0,1,1007.4,1003.5,40,7,15,83,7.7,9.2,191,191,22.3,33.7,30.0,29.2,30.5,0.314,0.322,0.277,0.312
30-06-2024 16:00:00,29.2,75,24.3,33.8,2.4,2.4,61,1007.8,1003.8,100,43,57,96,11.6,15.4,144,147,27.4,32.4,30.2,29.2,30.5,0.339,0.322,0.277,0.312
30-06-2024 17:00:00,27.1,83,23.9,30.5,3.4,3.4,63,1008.8,1004.8,92,56,22,96,18.0,26.4,213,212,31.3,30.9,30.3,29.2,30.5,0.382,0.322,0.277,0.312
30-06-2024 18:00:00,26.2,87,23.8,31.0,0.5,0.5,53,1009.3,1005.3,44,11,7,100,7.6,10.6,199,198,33.5,29.2,30.2,29.3,30.5,0.382,0.324,0.277,0.312
30-06-2024 19:00:00,26.0,91,24.3,31.2,0.1,0.1,51,1009.8,1005.8,51,15,14,98,7.4,12.6,166,175,13.7,28.2,30.1,29.3,30.5,0.379,0.325,0.277,0.312
30-06-2024 20:00:00,25.7,90,23.9,30.8,0.2,0.2,51,1010.8,1006.8,36,0,10,99,6.5,13.5,214,214,23.0,28.4,30.1,29.3,30.5,0.388,0.322,0.277,0.312
30-06-2024 21:00:00,25.6,91,24.1,31.2,0.0,0.0,1,1011.4,1007.4,39,0,17,95,4.0,9.5,243,233,10.4,27.7,30.0,29.3,30.5,0.384,0.323,0.277,0.312
30-06-2024 22:00:00,25.2,94,24.2,31.0,0.0,0.0,1,1011.6,1007.6,32,2,0,99,2.5,2.4,352,333,7.6,27.4,29.8,29.3,30.5,0.381,0.324,0.277,0.312
30-06-2024 23:00:00,26.0,88,23.8,31.8,0.0,0.0,1,1011.8,1007.8,46,14,8,96,1.3,1.4,304,270,4.3,27.1,29.6,29.3,30.5,0.377,0.325,0.277,0.312
01-07-2024 00:00:00,25.2,93,23.9,30.8,0.0,0.0,1,1011.4,1007.4,41,12,1,100,2.9,5.1,277,266,5.4,27.0,29.4,29.3,30.5,0.375,0.326,0.277,0.312
01-07-2024 01:00:00,24.8,95,24.0,30.4,0.0,0.0,1,1010.5,1006.5,30,1,0,98,3.6,5.4,276,262,5.8,26.7,29.2,29.3,30.5,0.372,0.327,0.277,0.312
01-07-2024 02:00:00,24.6,96,23.9,30.2,0.0,0.0,1,1009.9,1005.9,23,2,1,69,3.4,4.1,302,285,5.4,26.5,29.1,29.3,30.5,0.37,0.327,0.277,0.312
01-07-2024 03:00:00,25.5,90,23.8,31.3,0.0,0.0,1,1009.2,1005.2,26,2,0,80,0.8,1.1,333,270,4.7,26.4,28.9,29.3,30.5,0.368,0.328,0.277,0.312
01-07-2024 04:00:00,24.6,95,23.7,30.0,0.0,0.0,0,1009.7,1005.7,12,11,3,0,3.6,6.5,180,186,6.1,26.2,28.7,29.3,30.5,0.367,0.328,0.277,0.312
01-07-2024 05:00:00,24.8,95,23.9,30.3,0.0,0.0,1,1010.2,1006.2,26,25,6,0,3.8,8.7,221,218,7.6,26.1,28.6,29.3,30.5,0.365,0.329,0.277,0.312
01-07-2024 06:00:00,25.2,94,24.2,30.9,0.0,0.0,0,1010.2,1006.2,16,18,0,0,3.4,6.6,198,202,7.9,26.1,28.4,29.3,30.5,0.364,0.329,0.277,0.312
01-07-2024 07:00:00,26.3,89,24.3,31.5,0.0,0.0,3,1010.3,1006.3,100,98,0,58,7.9,9.7,219,219,16.2,26.5,28.3,29.3,30.5,0.362,0.329,0.277,0.312
01-07-2024 08:00:00,27.6,85,24.8,32.3,0.1,0.1,51,1011.0,1007.0,52,24,0,100,12.9,17.1,252,252,25.6,28.2,28.4,29.3,30.5,0.359,0.328,0.277,0.312
01-07-2024 09:00:00,28.9,77,24.5,33.3,0.1,0.1,51,1010.8,1006.8,46,29,1,65,13.9,18.4,260,259,30.2,29.0,28.5,29.3,30.5,0.357,0.328,0.277,0.312
01-07-2024 10:00:00,29.7,75,24.8,34.4,0.3,0.3,51,1010.6,1006.6,41,21,16,42,15.0,19.7,260,261,31.3,29.9,28.5,29.3,30.5,0.356,0.328,0.277,0.312
01-07-2024 11:00:00,30.3,74,25.3,36.4,0.3,0.3,51,1009.7,1005.7,51,22,3,98,14.0,18.4,258,259,31.0,30.7,28.7,29.3,30.5,0.356,0.327,0.277,0.312
01-07-2024 12:00:00,30.9,72,25.2,37.2,0.1,0.1,51,1008.6,1004.6,46,16,3,100,13.4,17.0,264,264,30.2,31.6,28.9,29.3,30.5,0.353,0.327,0.276,0.312
01-07-2024 13:00:00,31.5,69,25.0,37.6,0.1,0.1,51,1007.5,1003.6,48,12,12,99,14.4,18.4,269,269,32.4,32.2,29.1,29.3,30.5,0.35,0.326,0.276,0.312
01-07-2024 14:00:00,31.7,68,24.9,37.4,0.0,0.0,1,1006.6,1002.7,32,14,12,42,14.1,18.4,267,268,32.4,32.6,29.3,29.3,30.5,0.346,0.325,0.276,0.312
01-07-2024 15:00:00,30.5,71,24.8,35.9,1.6,1.6,61,1005.8,1001.8,52,23,20,63,13.4,17.7,264,264,33.8,32.3,29.5,29.3,30.5,0.361,0.324,0.276,0.312
01-07-2024 16:00:00,30.3,70,24.2,35.0,0.1,0.1,51,1005.4,1001.4,38,5,5,100,10.7,14.8,256,257,28.1,31.7,29.7,29.3,30.5,0.359,0.324,0.276,0.312
01-07-2024 17:00:00,29.8,72,24.2,34.1,0.0,0.0,1,1006.1,1002.1,38,14,6,73,13.0,19.2,256,257,25.6,31.2,29.8,29.3,30.5,0.356,0.324,0.276,0.312
